,text,target
60,RT #USER#: Historia de una infamia #URL# ✍ La opinión de Ignacio Camacho,0
61,¿Este es vuestro ídolo? #URL#,1
62,"#USER# #USER# Ahora si que lo voy a escribir con mucho orgullo.... HERMANA, YO SI TE CREO!!!!!!",1
63,"#USER# madre mía, sí que ha costado. Un placer volver a tenerte por aquí. 😘",1
64,"Gracias iphone por repetirme 8 veces las notificaciones de hace 3 horas, la verdad que no me la pueden sudar más",1
65,#USER# #USER# No se que espera el #USER#,0
66,"#USER# De momento perfecto, ya si ganamos el lunes lo bordamos.",0
67,RT #USER#: #USER# El resultado de la elecciones: #URL#,1
68,#USER# Desgraciadamente para nosotros. Ellos la están buscando desde que han llegado.,1
69,Que onda que siempre me despierto a la misma hora🤔,0
70,"A ver, lo más importante: ¿Cómo será el protocolo de sana distancia para el cruising en las regaderas? 🤔 #URL#",0
71,RT #USER#: Ábalos hoy #HASHTAG# #URL#,1
72,#USER# Qué agradó escuchar a este compadre,0
73,RT #USER#: Que buen invento de los Franceses,0
74,mi mamá creó un monstruo al enseñarme a jugar al chin chon,0
75,RT #USER#: q cambiada esta lisa simpson #URL#,0
76,#USER# primero uno y después el otro 💋,0
77,RT #USER#: Un año donde el llorarle a estos dos fue el aire que respiramos. TK REWIND 2020 #URL#,0
78,"Excelente amigo, bailarin y coreografo, sigan su canal de YouTube no se van a arrepentir...Said Landon. #URL#",0
79,RT #USER#: Toma brecha salarial ! Hipócritas ! #URL#,1
80,RT #USER#: El PSOE provocó la Guerra Civil... y la perdió #URL#,0
81,Al Chile me vale madres si se me cae un bracket comiendo tacos dorados,0
82,"Cuando hayan acorralado los suficiente a los varones, ese día verán el mundo arder",1
83,"RT #USER#: Cuando Bad Bunny dijo: “Te lo dije desde hace mucho tiempo, que como yo no hay dos” wey I really felt that.",0
84,RT #USER#: #USER# #HASHTAG# y que le quiten la nacionalidad española ya.,1
85,#USER# Los pagapensiones. Jaa!,1
86,RT #USER#: La Liga no confía en que el Estado tenga el control de Cataluña el próximo 26 de octubre.,1
87,#USER# #USER# #USER# #USER# Haré un análisis en mi programa de este viernes de #HASHTAG#,1
88,#USER# No te estoy entendiendo Ro. ¿Te refieres a que hay que sancionarlos por no cumplir con su deber? ¿...?,1
89,"Por dios hombres de el mundo no seáis como Edgar, quereros un poquito más #URL#",1
90,#USER# #USER# A Errejón también,1
91,"Bueno, estamos cabales.",1
92,"La verdad es que no estoy bien, en absoluto",0
93,"#USER# Mi ilusión es adoptar a Jason Momoa, pero él no sabe de mi existencia y a mi marido no le hace gracia.",1
94,#USER# RT yo te lo doy,0
95,RT #USER#: 🔴 🙋‍♂️ VOTOS a FAVOR de la DESAPARICIÓN del Ministerio de IGUAL-DA y de la MINISTRA BARRAGANA #USER# 🔁,1
96,#USER# No mientas que yo ya lo he visto de danza y ahora mira lo encadenado que está.,1
97,"#USER# Buenos días Yolanda, a reírse toca 😉",1
98,en cualquier momento esta cuenta pasa a ser una fandom de taylor swift porque es de lo único de lo que soy capaz de hablar con coherencia,0
99,#USER# #USER# #USER# #USER# Quita...Quita...yo para las noches prefiero la sierra 😂😂😂😂,1
100,#USER# #USER# Claro viva el bipartidismo para seguir robando a los españoles pedazo de sinvergüenza ten dignidad,1
101,"RT #USER#: HEMOS PROPONIDO... no se asusten es #USER# ""estudiao"" y ministro 🤦🏻‍♂️ #URL#",1
102,"RT #USER#: Que fortuna tiene el cielo de tenerte ahí, te extraño, siempre.",1
103,Me salen muchas de las imágenes que mandáis en twitter en blanco os pasa lo mismo?,1
104,RT #USER#: #USER# sinvergüenzas como #USER# tal palo ... #URL#,1
105,Chispas mañana no se come carne :( y yo que pensaba darte bn duro contra el muro! #HASHTAG# #HASHTAG# :3,0
106,Una lloradita y a seguir existiendo,0
107,RT #USER#: ¿Qué será de la patria cuando todos aquellos que rezamos por ella dejemos de hacerlo?,1
108,RT #USER#: Un gasto superfluo según ellos #URL#,1
109,Bienvenido al miyo #URL# #URL#,0
110,"#USER# Pues hoy se ve que madrugó, para ir a hacer el pinga.",1
111,"RT #USER#: ""El miedo no evita la muerte. El miedo evita la vida"". Naguib Mahfouz",0
112,#USER# El día ya llegó. Solo falta que lo hagamos.,1
113,RT #USER#: Yo estaria brincando de corillo en corillo pa que me de to los abrazos a mi😭❤️,0
114,#USER# Hay que ir con el escudo peronista y los dedos en V?,1
115,#USER# #USER# #USER#FF Gonzalo defunción,1
116,A quién conoceré esta noche?,0
117,RT #USER#: ¿Qué explicación tiene esto #USER# ? ¿Es verdad? ¿Algo que aclarar o desmentir? #URL#,1
118,#USER# En mi barrio se dice cagón,1
119,Ser opositora es un oficio? Cotiza? Da derecho a paro? #HASHTAG#,0
120,RT #USER#: Cuesta 0$ apoyar los proyectos de tus amigos y no envidiar,0
121,#USER# #USER# #USER# Menor que las de los muertos de hambre de Cuba y Venezuela.... Lee un poco en.,1
122,"Y si no triunfo yo, que triunfen mis panas",1
123,#USER# El carro y una moto para ti,0
124,Esta mina se piensa q me puede venir a mentir en la cara jaja,0
125,Muy de acuerdo. #URL#,0
126,Profe yo también me quiero ir de excursión contigo.,0
127,#USER# eh no creo que es peor jajajaj pero si se abusaron los giles,0
128,#USER# Igual la MSN se los cogia,0
129,#USER# RT si y todo lo demás,0
130,"Siempre me gusta que los revienten a los Alemanes, lo que juega España!",0
131,#USER# Que les suelten 3 o 4 menas en medio a dar hostias y los verán a todos corriendo para sus casas que se las pelan.,1
132,#USER# #USER# #USER# #USER# #USER# #USER# #USER# pues te vas ocultado,0
133,#USER# Te la cojo prestada.,1
134,RT #USER#: Preparada para los memazos que se va a marcar la peñita #HASHTAG# #URL#,0
135,"Como viajas en coche o en tren? Metiéndome un tripi, es más barato #HASHTAG#",0
136,#USER# Buenos días para ti Buenas noches para mi ñeñe. ...bays #URL#,0
137,#USER# Y lo dice alguien con una foto de Marx...Te tienes que reír. Más de 100 millones de muertos lleva el comunismo a las espaldas.,1
138,El dia que una mujer se lo merezca voy hacer lo que sea por su felicidad y solo por la de ella . De nadie mas,0
139,Arriba porque dios no me hizo linda y mucho menos inteligente,0
140,#USER# Interactuemos mas entonces a decia eso igusl siii interactuemos mas chiqui,0
141,RT #USER#: El vicepresidente de España con el rapero e Iñigo Rejón ..comprendemos ya a donde nos llevan estos delicuentes?,1
142,#USER# siesta y salió pibe,0
143,Tengo 100 problemas y 99 se solucionarían con una moto. El otro que queda con comida,0
144,"RT #USER#: #USER# #USER# #USER# Todos los ""bots"" que circulan por aquí son pagados por todos y son de Porremos.",1
145,#USER# #USER# Felicidades Lago 👍🌹,1
146,#HASHTAG# una corrupta que se va de rositas gracias al #HASHTAG# ??? #URL#,1
147,"#USER# bueno tambien te digo en bcn si no tienes carnet da igual, nunca es requisito a no ser que sea transporte o comercial",0
148,"#USER# hoy pituli ha marcado el mismo gol contra el illescas, y nadie dice nada, solo os fijais en el nombre",0
149,"Como un verano sin sol, aquí estoy.",0
150,RT #USER#: si t pregunto como t fue es para que me mandes un audio d 5 minutos contandome todo no para q me digas ‘bien’ cara d taper,0
151,"RT #USER#: 🙏 Hoy me empieza a faltar la paciencia, van 8 días boca arriba en una cama de hospital. Acuérdense de rezar por mí.",1
152,"RT #USER#: Roja, republicana y pesada lo tengo todo",0
153,#USER# Suerte Compañero CUIDATEEEEEEEEE,1
154,A veces la vida es tan injusta😣,0
155,A nadie les gustan los aliados #URL#,1
156,"#USER# Bien podría ser, no te creas.",0
157,"Bueno 3 primeras horas en el loop hero, ya he matado al primer boss jejejejeje ahora a farmear como una cerda.",0
158,#USER# #USER# Exceso de libertad = proliferación de la estupidez. No falla😂,1
159,RT #USER#: ¿Alguien sabe dónde cojones está Grandeslasmaska?,1
160,#USER# Tienes el enlace?,1
161,RT #USER#: Vamos a averiguar dónde han obtenido las armas para la indigna performance. #URL#,1
162,RT #USER#: #HASHTAG# #HASHTAG# Catriel Sánchez está muy grave #URL#�nchez-est�-muy-grave,1
163,RT #USER#: Siento vergüenza viendo estas imágenes. Todo mi apoyo a los cuerpos de policía. #URL#,1
164,Últimamente vi como 3 videos de gente esperando a su hijx y para dar la noticia lo hacen con globos rosados o celestes 🤦🏻‍♀️🤦🏻‍♀️,0
165,"RT #USER#: Una relación es 50/50, uno bosteza y el otro le mete el dedo en la boca para cortarle el bostezo.",0
166,RT #USER#: El feminismo se ha convertido en una enfermedad mental.,1
167,"#USER# Han dicho que su madre en vez de coger a su hijo y hablar las cosas, llama a periodistas para sacar mierda",1
168,RT #USER#: Los españoles plantan cara al odio de Podemos: lanzan un masivo apoyo a la Policía #URL#,1
169,#USER# twitteros que te hagan rabiar,0
170,#USER# Mentirosos lameculos dirigidos por una sirvienta del poder,0
171,RT #USER#: Recién salido del horno!!! Empieza la cuenta atrás para nuestro gran día... 24 días pasan rápido 😁.,0
172,"Feministas de España, ya saben 6000 euros para demostrar que hay brecha salarial. #URL#",1
173,La hipocresía de Podemos en 45 segundos. #URL#,1
174,#USER# No sé si he echo bien al seguirte jajaja 😂😂😂,1
175,RT #USER#: Junqueras le ha prestado a Illa su americana. #URL#,1
176,#USER# Todos somos Rocío Flores!!!...Anda ya y no me jodáis q estamos es cuarentena!!!..🤦🏼‍♀️💃🏼🤪..,1
177,#USER# #USER# Sólo me aman por mis cocteles Hahahaha... desgraciadas. Laj amo mil,1
178,"RT #USER#: #USER# #USER# Aquí no se lleva, vaya ser que sean democráticos",1
179,"#USER# Pues otra cosa habría más lejos, después de visto lo visto no me extraña nada.",1
180,El liverpool paso de ser campeón de todo a ser equipo que pelea media tabla para no caer en puestos de descenso,0
181,Lo chorros se juntan con los chorros #URL#,0
182,"""Opinión no pedida = acoso"" #HASHTAG#",1
183,RT #USER#: Puebla representando a MEXICO en las Olimpiadas😆 #URL#,0
184,#USER# #USER# uaaoo fantástico !! Te adoro y te lamería horas horas horas 👅👅👅💦💦💦,0
185,#USER# #USER# #USER# #USER# Qué alguien le de la medicación?,1
186,#USER# #USER# La cara de la corupcion,0
187,"#USER# ya bueno, se intenta",0
188,RT #USER#: ¿Y cuál es tu trilogía favorita? MG: #HASHTAG# RT: #HASHTAG# COMENT: #HASHTAG# #URL#,0
189,#USER# aa q suerte y en algún momento vas a ir presencial?,0
190,"#USER# #USER# Joderos!!, ¡¡Hala Madrid!!",1
191,RT #USER#: Feliz San Valentín. #URL#,0
192,"#USER# piel como pitu caleya ,EMOCIONA!! 👏👏👏💪💪",0
193,RT #USER#: Lo he hecho lo mejor posible... ¿que os parece? xd #URL#,0
194,RT #USER#: A kilómetros estamos conectando y me prende aunque no me estés tocando,0
195,RT #USER#: El amigo de cafierito que golpeo jubilados. #HASHTAG# #HASHTAG#,0
196,"RT #USER#: Y si suenas desafinada, es que no te supieron tocar",0
197,RT #USER#: El Estado Comunal es la muerte de la República.,0
198,RT #USER#: Vox se querella contra Twitter por censurar su campaña ante la islamización de Cataluña #URL#,0
199,"LOS CANICHES DE PERÓN: Perón, la Constitución de 1949 y la “función socia... #URL#",0
200,"""Lo que pasa en mi cabeza es producto del Man que me pilotea el viaje""",1
201,#USER# Buenos días y a por el Viernes 👍,1
202,"#USER# Bueno, entonces «El vampiro de la colonia Roma», naturalmente",0
203,Las 18:00 hora de no responder los mensajes,1
204,Arantxa trabaja en una gasolinera ⛽ poniendo gasolina a la gente. A los coches ya se la ponen ellos. #HASHTAG#,0
205,Me rosaste sin querer con una servilleta y ya me pusiste de mal humor. Asi de sensible? o mas?,0
206,"#USER# #USER# No lo sabremos. Hay cosas que nunca salen, aunque se medio sepa o sospeche",1
207,"Chingó a su madre el equipo del inventor del fútbol, mi gente. Ganó el United, ganó la premier GANAMOS TODOS",1
208,"RT #USER#: Por mí, esta España puede arder... #URL#",0
209,"#USER# #USER# #USER# Te confundes, a la querida se le pone un tabloide 😁 y a la legal el ninisterio, total da-igual-dá",1
210,Además estaremos vendiendo estas camis!!! #URL#,0
211,Hay más imágenes para ti #USER#. #URL#,1
212,Pusieron romeo santos en mi casa y me puse a cantar JUSTO CUANDO PASABA GENTE POR LA CALLE DIOS QUE VERGUENZA ME DIO,0
213,"RT #USER#: Parece Chiste, pero es anécdota #USER# #URL#",1
214,RT #USER#: Chetoo borró las destacadas llegó mi momento,0
215,#USER# Y yo y se me quedaba cara de gilipollas.,0
216,#USER# Estas normas las estaba cumpliendo un total de... ¡0 personas! 😊😊,1
217,"RT #USER#: Que dice este ser, que sufre acoso policial. Que le donemos dinero para comprarse una gopro #URL#",1
218,"No chille Mr. Cheto aguántese, como los meros machos XD XD XD #URL#",1
219,RT #USER#: #USER# ah pero la más linda es corazón atómico 😍,1
220,Perdon pero nadie va hablar del semejante culote que tiene anitta? Bueno yo si,0
221,"Quiero ir poco a poco -Pues sueltame el paquete -Ups, perdon #HASHTAG#",0
222,#USER# mmmm hermosa !!! ¡Amo tu cuerpo increíble y tu arbusto es hermoso! ❤❤😘,0
223,"#USER# #USER# Sois un despropósito de Gobierno, y el Ministerio de DesIgualdad debería desaparecer de una vez por todas, MEDAISASCO",1
224,#USER# Me está doliendo el pecho,1
225,"#USER# #USER# #USER# Contra el Alcoyano si que fue un ridiculo, campeón. Venga a ver el chiringuito y esperar otros 6 años a Mbape.",0
226,#USER# RT me encanta tu hermoso culo,0
227,#USER# Lo que más me enverga es que yo bien preocupado por el virus y toda la demás gente en modo: “¿cuál pandemia?” 😂,0
228,"#USER# Topografía, cartografía digital, ortofotografia, etc. Mapeo con drones.",0
229,RT #USER#: las decepciones de amistades duelen mil veces más,0
230,RT #USER#: Es usted un cobarde y un vendepatrias,1
231,RT #USER#: A reír con el género femenino. #URL#,1
232,"RT #USER#: Si Felipe González convence a 20 diputados socialistas, en noviembre Pedro Sánchez esta fugado en Túnez como Bettino Craxi.",0
233,RT #USER#: Ya te chupe las chichis y t da pena q te vea desmaquillada no mames mendiga,0
234,#USER# #USER# Pues no lo veo por ninguna parte. 74 a 61...,0
235,"Sé lo que es estar en el paro, pobres familias, Dios Mío...😢 ¿Hasta cuando vamos a aguantar a estos? 👏🏻😠 #URL#",1
236,#USER# y #USER#..Yo si no es por Rosa jamás lo hubiese pensado.. #URL#,1
237,"RT #USER#: Movilizados medios a un Incendio en Turis, del que veremos la evolución",0
238,"RT #USER#: Foo quiero botitas, borcegos y texanas. QUE TRISTE ES NO SER MILLONARIA 😫",0
239,"#USER# Y Suecia, y Alemania, y Francia con sus pvtas colonias..",0
240,"RT #USER#: Alguien sabe si el pantalón está en otros colores, y el precio porfa?? #URL#",1
241,#USER# El de las huestes de la banda PsoEta. Mira que es Sinverguenza.,1
242,"#USER# Lo reconozco y aunque lo intuía, tuve que mirar la definición. Vamos, un veleta... #URL#",1
243,"#USER# #USER# 51% puestas, vamos perfecto. 💪👍👌 #URL#",1
244,#USER# #USER# ¿Confirmáis y luego decís presuntamente? 🤦‍♂️🤦‍♂️ Vaya panda de ineptas,1
245,#USER# Igualmente Brian amigo mío...🙏🏻🤗😘🕉️❤️!!!,1
246,"Los perros deberían envejecer mas lento que las personas, ellos se merecen mas que nosotros 🥺",0
247,Pool y ginebra en la sede vip #URL#,0
248,#USER# Pesadito eres compadre..lo tuyo un sueño.lo mío?el día a día,1
249,RT #USER#: La alimaña de la Pampa #URL#,1
250,RT #USER#: ¿Dónde se estudia Periodismo de Indignación? Parece la carrera del futuro.,0
251,#USER# #USER# Donde esta tu establecimiento?,0
252,Pedazo de sorete ese pelotudo hijo de la jueza. Lo peor es que son unos cuantos los miserables.,0
253,RT #USER#: Venezuela recibe 500 mil dosis de la vacuna china Vero Cell #URL#,1
254,LKKKKKKKWKD me acordé de esto dios es buenisimo #URL#,0
255,El sueño húmedo de todos nosotros👇 #URL#,1
256,No quiero ser la mamá de nadie más!,0
257,#USER# No me la contes,0
258,#USER# Xacto no le interesa además.,1
259,Franco y Él. Los salvadores de España. #URL#,0
260,"¿En serio eres así de subnormal? Dime que no, porque mira que hay mongolos, pero de este nivel no he visto ninguno. #URL#",1
261,"#USER# pero esq a mi no me gustan,yo solo quiero amigos para jugar al lol",0
262,RT #USER#: Evoluciona favorablemente la mujer apuñalada por su expareja en Massamagrell #URL#,0
263,#USER# RT muy rico,0
264,"Y ahora métanse en el culo su maliciosa interpretación de: ""alpargatas sí, libros no""",0
265,#USER# Está bien chido la neta,0
266,#USER# #USER# #USER# lo malo son los daños colaterales q recaeran en la sociedad,1
267,Pero qué pollas dices pedazo de subnlrmal? #URL#,0
268,De 250.000 en 250.000...así nos luce el pelo....#HASHTAG#?#URL#,1
269,RT #USER#: Convoy del #HASHTAG# irrumpe en #HASHTAG# #HASHTAG# y ataca a la Policía; hay tres muertos y 10 heridos #URL#,1
270,#USER# fumat muchacho boboe un malboro con mariguana para que se e abra la mente,1
271,"La máquina de la ironía, a veces funciona, a veces no. Sólo funciona cuando es irónico, lo irónico es que en esos casos tampoco funciona.",1
272,#USER# Como os jode que os digan las verdades del barquero a la tropa chavista totalitaria.,1
273,RT #USER#: A ver si así lo veis más claro. #URL#,0
274,RT #USER#: Se calentó Trump caballero #URL#,0
275,#USER# Siempre marinado nunca inmarinado,0
276,Son todo menas y moros delincuentes. Patada en el culo y de vuelta a sus países #URL#,1
277,anda lavarte ese culo #URL#,1
278,#USER# #USER# Haciendo revolución... esa es su manera. #HASHTAG#,0
279,#USER# #USER# ahora me entiendes 🥶🥶🥶,0
280,#USER# que amigos tiene uribe se ka estan poniendo papaya a chavez,1
281,y el Lunes a las 00:00 h.? 🤔🤔🤔 #URL#,0
282,"No crecen nunca mis seguidores, pero me afanan cada twit, todo se lo ""debo"" al call lilito #URL#",1
283,#USER# #USER# Más falsos no pueden ser estos vagos podemitas,1
284,"#USER# Dirán que era un infiltrado de los mossos, para no quedar en ridículo.",1
285,"RT #USER#: Físicamente encajas con quien sea, pero el alma no sonríe, ni ama, ni vibra con cualquiera.",0
286,RT #USER#: #USER# #USER# Nos gobiernan delincuentes psicópatas inoperantes inútiles sádicos hijos de puts !,1
287,RT #USER#: Nunca caiga en el olvido este vídeo del 8M de 2018. #URL#,0
288,"Cabecita Rodríguez cheleando con el uniforme de la chamba. Cabecita nos representa, Cabecita es México #URL#",1
289,Existe alguien mas ladri que Darío Szstssfrksjnsdindmkber? Ampliaremos,0
290,"RT #USER#: Villacís, Cantó y Marín exigen cuentas a Arrimadas tras el ridículo de Murcia: #URL#",1
291,"#USER# sisoy, y el signo más cabezon se podría decir jabsvsjaj",0
292,RT #USER#: Vaya puta mierda de gusto tenei alguno,0
293,Linda noche para escuchar Selena Gómez &amp; The scene,0
294,"#USER# Messi tiene q seguir, no digo hacer un equipo para él, digo que Messi ahora mismo te aporta mas que 10 nuevos q puedan venir",1
295,RT #USER#: 🤔 Más QUIQUES y menos ECHENIQUES.,1
296,#HASHTAG# en La Moncloa Hay alarmantes razones para #HASHTAG# en la calle #HASHTAG# generales de inmediato #URL#,1
297,"Los jugadores de la U de Conce no corren a marcar, ni trotan. Disimulen algo aunque sea. #HASHTAG#",1
298,Unas japonesas cagando han hecho más contra el independentismo en una tarde que el PP en 40 años.,1
299,Pagar la pensión o comer: el drama de los padres divorciados del que nadie habla. #URL#,1
300,RT #USER#: enero con E de estudia que luego lloras,0
301,"#USER# #USER# Menos mal que quedó a salvo del infecto influjo de Sánchez. Su prestigio, intacto.",1
302,"#USER# #USER# Todo para no decir que el TRAIDOR SÁNCHEZ ( Moncloa ) pactaba con la Sra Arrimadas, la MISERABLE.",1
303,"Biden parece estar loco ,comenta Ian Miles Cheong #URL#",1
304,Campaña de odio y criminalización dice el notas por poner la foto esa jajajajajaja madre mía como se le va la olla a esta peña.,1
305,"para los que no saben, taylor es de sagitario #URL#",0
306,Ahora que está x viajar. O viajo la sra. Bullrich. Alguien sabe. Si devolvió la plata de los pasajes anteriores ??,0
307,RT #USER#: 🔴⁉️ ¿Recuerdan este tuit de septiembre? Pues ME REAFIRMO. #URL#,1
308,Vamos activar con un poco de musica!,0
309,RT #USER#: Ya es antifascismo en el Corte Inglés. #URL#,1
310,#USER# Embarazada?? Enhorabuena!! O te refieres a una niña que ya tienes? 😅😅🤦‍♂️,1
311,RT #USER#: 🛑La pena es que no estés tú en esa nave como muestra de animal de bellota terrestre #USER# ↘️↘️,1
312,RT #USER#: Gracias #USER# por estos magníficos 17 años y por mucho más,1
313,"mira papi es q lo yo siento, la vdd es q a veces yo t miento 🌹💋 #URL#",0
314,#USER# joer si su precio normal no llega a los 2 euros de esas marcarillas,0
315,“Fue una experiencia muy fea”: Una periodista venezolana relata su peor pesadilla al ser deportada desde México #URL#,0
316,#USER# #USER# A los países pobres? no! a los gobernantes multimillonarios de los países pobres.,1
317,"kuando m fui cobraba 450,,,, y regateaban ,,,,,,,",0
318,RT #USER#: oye vosotros os la pasabais por la cara cuando estaba nueva?,0
319,#USER# HM España o Nigeria?? Por qué cojones ponen a un negro?,1
320,#USER# #USER# Negro que hueles fuerte,1
321,1:24 de la mañana me olvide de colgar el uniforme,0
322,"#USER# Si te sacas esa cosa,lo que aparece es para ir a un aquelarre no al carnaval.",0
323,RT #USER#: Aquí les dejo una fotito 🤓 #URL#,1
324,lo que está claro es que todo tiene su causa,0
325,tu p*ta madre? vete a mamarla? la concha d tu madre? menudo coñazo?,0
326,RT #USER#: #USER# #USER# Provocasteis una guerra civil entre españoles y ahora lleváis el mismo camino.,1
327,#USER# Lo empata. Lo firmo. Excelente 2do tiempo del #HASHTAG#,1
328,RT #USER#: Lo que acaba de hacer OBJ 😲 #URL#,1
329,RT #USER#: nada mejor que bañarse escuchando los beneficios de tener tarjeta uala,0
330,#USER# #USER# Colectivismo = borreguismo. La persona es única e irrepetible.,1
331,Vendería a su madre por el poder. #URL#,1
332,#USER# Como saben los marxistas de CHV que la detención era ilegal? Imbéciles chavistas,1
333,RT #USER#: #USER# Hola. Necesito que me reconecten la línea.,0
334,#USER# #USER# Te meo entera,1
335,RT #USER#: #USER# Buen día para ti Nicolas.,0
336,#USER# Tiene un amplio vocabulario el perro,1
337,#USER# Nada! Nada! Eso porque tú lo sabes! 😂😂😂,1
338,#USER# Gracias !! Me puedes seguir en IG 😚,0
339,#USER# #USER# Quien controle Madrid...,1
340,"últimamente siento que todo en mi vida se derrumba wey, nada está bn",0
341,"#USER# #USER# Eso mismo pensamos cuando twitteaste esto,,,,",0
342,Rafael es hermano mellizo de Rossy de Palma #HASHTAG#,0
343,al final me rendí y decidí ver star wars. ya voy por el episodio III y estoy hace una hora gritando NOOOOO ANAKIN,0
344,RT #USER#: Veppex declara Persona Non Grata a Sebastián Piñera. #URL#,0
345,"#USER# #USER# Yo uso el polvito de glade y deja un olor riquisimo , no se si sea el mejor.",0
346,#USER# Me lo suponía y es lógico q seas precavido y veles por su salud. Q mono! 😍,1
347,RT #USER#: pov: es tu profesor de historia #URL#,0
